record_id,pdf_page_start,pdf_page_end,row_type,section,chapter,text
1,1,2,paragraph,,,S.D.A. Bible Commentary Vol. 1 (1953) Genesis Exodus Leviticus Numbers Deuteronomy S.D.A. Bible Commentary Vol. 2 (1953) Joshua Judges 1 Samuel 2 Samuel 1 Kings 2 Kings S.D.A. Bible Commentary Vol. 3 (1954) 1 Chronicles 2 Chronicles Ezra Nehemiah Esther Job Psalms Proverbs Ecclesiastes S.D.A. Bible Commentary Vol. 4 (1955) Isaiah Jeremiah Ezekiel Daniel Hosea Joel Haggai Zechariah Malachi S.D.A. Bible Commentary Vol. 5 (1956) Matthew Mark Luke John S.D.A. Bible Commentary Vol. 6 (1956) Acts Romans 1 Corinthians 2 Corinthians Galatians Ephesians S.D.A. Bible Commentary Vol. 7 (1957) Philippians Colossians 1 Thessalonians 2 Thessalonians 1 Timothy 2 Timothy Titus Hebrews James 1 Peter 2 Peter 1 John Jude Revelation S.D.A. Bible Commentary Vol. 7A (1970) Christ's Place in the Godhead Christ's Nature During the Incarnation The Atonement
2,2,2,section_heading,Genesis,,Genesis
3,2,2,chapter_heading,Genesis,1,Chapter 1
4,2,2,paragraph,Genesis,1,"1-3 (Ps. 33:6, 9). A Reservoir of Means.--God spoke, and His words created His works in the natural world. God's creation is but a reservoir of means made ready for Him to employ instantly to do His pleasure (Letter 131, 1897). {1BC 1081.1}"
5,2,2,paragraph,Genesis,1,"26 (Eph. 3:15). A Larger Family.--Infinite love--how great it is! God made the world to enlarge heaven. He desires a larger family of created intelligences (MS 78, 1901). {1BC 1081.2}"
6,2,2,paragraph,Genesis,1,"27. Man, a New and Distinct Order.--All heaven took a deep and joyful interest in the creation of the world and of man. Human beings were a new and distinct order. They were made ""in the image of God,"" and it was the Creator's design that they should populate the earth (RH Feb. 11, 1902). {1BC 1081.3}"
7,2,2,paragraph,Genesis,1,"29 (Ps. 104:14). Fruit in Our Hands.--The Lord has given His life to the trees and vines of His creation. His word can increase or decrease the fruit of the land. If men would open their understanding to discern the relation between nature and nature's God, faithful acknowledgments of the Creator's power would be heard. Without the life of God, nature would die. His creative works are dependent on Him. He bestows life-giving properties on all that nature produces. We are to regard the trees laden with fruit as the gift of God, just as much as though He placed the fruit in our hands (MS 114, 1899). {1BC 1081.4}"
8,2,2,chapter_heading,Genesis,2,Chapter 2
9,2,2,paragraph,Genesis,2,"2 (Ex. 20:8-11). Seven Literal Days.--The weekly cycle of seven literal days, six for labor, and the seventh for rest, which has been preserved and brought down through Bible history, originated in the great fact of the first seven days (3SG 90). {1BC 1081.5}"
10,3,3,paragraph,Genesis,2,"7 (1 Cor. 3:9; Acts 17:28). Man Under God's Supervision.--The physical organism of man is under the supervision of God; but it is not like a clock, which is set in operation, and must go of itself. The heart beats, pulse succeeds pulse, breath succeeds breath, but the entire being is under the supervision of God. ""Ye are God's husbandry, ye are God's building."" In God we live and move and have our being. Each heart-beat, each breath, is the inspiration of Him who breathed into the nostrils of Adam the breath of life,--the inspiration of the ever-present God, the Great I AM (RH Nov. 8, 1898). {1BC 1081.6}"
